"Ilość bajtów","Ilość cykli","Czas trwania wszystkich operacji - Blokujące","Przepustowość łącza - Blokujące","Czas wykonania pojedynczej operacji - Blokujące","Czas trwania wszystkich operacji - Nieblokujące","Przepustowość łącza - Nieblokujące","Czas wykonania pojedynczej operacji - Nieblokujące"
1, 1, 0.000016, 124556.266228, 0.000008, 0.000243, 8214.395731, 0.000122
1, 2, 0.000133, 30002.100098, 0.000033, 0.000189, 21146.902236, 0.000047
1, 4, 0.000501, 15963.475573, 0.000063, 0.000371, 21581.084172, 0.000046
1, 8, 0.001040, 15385.828497, 0.000065, 0.000788, 20297.124533, 0.000049
1, 16, 0.002019, 15845.828015, 0.000063, 0.001533, 20869.515310, 0.000048
1, 32, 0.004045, 15820.637477, 0.000063, 0.003018, 21206.391872, 0.000047
1, 64, 0.008123, 15757.371926, 0.000063, 0.005989, 21374.165115, 0.000047
1, 128, 0.016624, 15399.676342, 0.000065, 0.011511, 22240.302121, 0.000045
1, 256, 0.031841, 16079.840933, 0.000062, 0.023178, 22090.077728, 0.000045
1, 512, 0.064166, 15958.700628, 0.000063, 0.046361, 22087.475202, 0.000045
1, 1024, 0.127295, 16088.643650, 0.000062, 0.092755, 22079.644166, 0.000045
1, 2048, 0.254535, 16092.067495, 0.000062, 0.187293, 21869.507012, 0.000046
1, 4096, 0.510278, 16053.994915, 0.000062, 0.374195, 21892.321377, 0.000046
1, 8192, 1.018359, 16088.622022, 0.000062, 0.751858, 21791.362463, 0.000046
1, 16384, 2.053175, 15959.669906, 0.000063, 1.491072, 21976.132078, 0.000046
1, 32768, 4.074462, 16084.579173, 0.000062, 2.988170, 21931.817112, 0.000046
2, 1, 0.000061, 65589.899273, 0.000030, 0.000172, 23202.259912, 0.000086
2, 2, 0.000237, 33769.237866, 0.000059, 0.000248, 32322.840520, 0.000062
2, 4, 0.000493, 32475.440465, 0.000062, 0.000366, 43700.205641, 0.000046
2, 8, 0.001019, 31396.588964, 0.000064, 0.000723, 44240.874975, 0.000045
2, 16, 0.001978, 32362.885027, 0.000062, 0.001465, 43683.144308, 0.000046
2, 32, 0.004061, 31522.163403, 0.000063, 0.002928, 43715.966438, 0.000046
2, 64, 0.007955, 32182.409899, 0.000062, 0.005832, 43893.233824, 0.000046
2, 128, 0.015899, 32204.192696, 0.000062, 0.011599, 44143.049343, 0.000045
2, 256, 0.031855, 32145.625712, 0.000062, 0.023274, 43996.864192, 0.000045
2, 512, 0.063632, 32185.174889, 0.000062, 0.046494, 44049.155847, 0.000045
2, 1024, 0.128439, 31890.534743, 0.000063, 0.092699, 44186.079100, 0.000045
2, 2048, 0.254621, 32173.255115, 0.000062, 0.187976, 43579.986053, 0.000046
2, 4096, 0.509328, 32167.871367, 0.000062, 0.372535, 43979.755805, 0.000045
2, 8192, 1.018270, 32180.066453, 0.000062, 0.747438, 43840.439520, 0.000046
2, 16384, 2.059143, 31826.831886, 0.000063, 1.493711, 43874.625425, 0.000046
2, 32768, 4.073452, 32177.132364, 0.000062, 2.992469, 43800.624192, 0.000046
4, 1, 0.000062, 128238.010470, 0.000031, 0.000176, 45464.361635, 0.000088
4, 2, 0.000239, 66901.658708, 0.000060, 0.000183, 87569.029044, 0.000046
4, 4, 0.000520, 61525.919735, 0.000065, 0.000358, 89444.188227, 0.000045
4, 8, 0.001052, 60825.978777, 0.000066, 0.000802, 79778.713795, 0.000050
4, 16, 0.002016, 63500.000983, 0.000063, 0.001505, 85073.575346, 0.000047
4, 32, 0.003977, 64368.833417, 0.000062, 0.002991, 85580.575618, 0.000047
4, 64, 0.007988, 64092.878592, 0.000062, 0.005712, 89630.299522, 0.000045
4, 128, 0.016088, 63649.616814, 0.000063, 0.011673, 87726.061666, 0.000046
4, 256, 0.031846, 64309.000729, 0.000062, 0.023136, 88521.773266, 0.000045
4, 512, 0.064174, 63826.322592, 0.000063, 0.046522, 88044.525079, 0.000045
4, 1024, 0.127321, 64341.442442, 0.000062, 0.092714, 88357.705298, 0.000045
4, 2048, 0.465442, 35200.956414, 0.000114, 0.185566, 88292.250367, 0.000045
4, 4096, 0.515910, 63514.912547, 0.000063, 0.372050, 88074.175529, 0.000045
4, 8192, 1.023536, 64029.025470, 0.000062, 0.750909, 87275.538275, 0.000046
4, 16384, 2.039234, 64275.128337, 0.000062, 1.499473, 87412.062636, 0.000046
4, 32768, 4.083139, 64201.580848, 0.000062, 2.995365, 87516.531877, 0.000046
8, 1, 0.000065, 247927.480857, 0.000032, 0.000118, 135153.399152, 0.000059
8, 2, 0.000237, 135083.794168, 0.000059, 0.000243, 131865.776986, 0.000061
8, 4, 0.000493, 129805.859113, 0.000062, 0.000371, 172498.834117, 0.000046
8, 8, 0.001010, 126688.395064, 0.000063, 0.000786, 162853.602287, 0.000049
8, 16, 0.001991, 128552.454178, 0.000062, 0.001520, 168440.223810, 0.000047
8, 32, 0.003977, 128726.953285, 0.000062, 0.002980, 171825.053887, 0.000047
8, 64, 0.007832, 130753.138076, 0.000061, 0.005806, 176355.543802, 0.000045
8, 128, 0.016311, 125562.055733, 0.000064, 0.011687, 175230.591225, 0.000046
8, 256, 0.031855, 128582.845950, 0.000062, 0.023359, 175351.150739, 0.000046
8, 512, 0.064155, 127691.073395, 0.000063, 0.047201, 173555.784732, 0.000046
8, 1024, 0.127284, 128720.492846, 0.000062, 0.094229, 173873.580111, 0.000046
8, 2048, 0.254668, 128669.609717, 0.000062, 0.188344, 173979.753138, 0.000046
8, 4096, 0.509271, 128686.015851, 0.000062, 0.372888, 175752.556620, 0.000046
8, 8192, 1.018754, 128659.149722, 0.000062, 0.749739, 174823.438790, 0.000046
8, 16384, 2.036392, 128729.643706, 0.000062, 1.496456, 175176.534192, 0.000046
8, 32768, 4.073661, 128701.912138, 0.000062, 2.999579, 174787.202187, 0.000046
16, 1, 0.000063, 505297.729993, 0.000032, 0.000118, 271145.079119, 0.000059
